"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Refund Summary Dengan Field Tidak Dikenal pada Body","3416","getRefundWithUnknownField","Surefire suite","Tue Sep 22 10:19:51 UTC 2026","passed","Tue Sep 22 10:19:54 UTC 2026","testcases.backoffice.refund.GetRefundTest","Surefire test","testcases.backoffice.refund.GetRefundTest","getRefundWithUnknownField"
"Refund Summary Dengan type Bertipe Angka (Bukan String)","3704","getRefundWithNumericType","Surefire suite","Tue Sep 22 10:19:11 UTC 2026","passed","Tue Sep 22 10:19:14 UTC 2026","testcases.backoffice.refund.GetRefundTest","Surefire test","testcases.backoffice.refund.GetRefundTest","getRefundWithNumericType"
"Get List Group Company BO Dengan Multiple Header groupName","6861","getListGroupCompanyWithMultipleGroupNameHeaders","Surefire suite","Tue Sep 22 10:08:16 UTC 2026","passed","Tue Sep 22 10:08:23 UTC 2026","testcases.backoffice.settlement.GetListGroupCompanyTest","Surefire test","testcases.backoffice.settlement.GetListGroupCompanyTest","getListGroupCompanyWithMultipleGroupNameHeaders"
"Add Currency CS Admin Path Dengan Token Kadaluarsa","3572","addCurrencyWithExpiredToken","Surefire suite","Tue Sep 22 11:38:22 UTC 2026","passed","Tue Sep 22 11:38:26 UTC 2026","testcases.backoffice.currency.AddCurrencyTest","Surefire test","testcases.backoffice.currency.AddCurrencyTest","addCurrencyWithExpiredToken"
"Get Balance Marketing","9122","getBalanceMarketing","Surefire suite","Tue Sep 22 09:49:14 UTC 2026","passed","Tue Sep 22 09:49:23 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getBalanceMarketing"
"Add Group Backoffice Tanpa Field name","3426","addGroupWithoutNameField","Surefire suite","Tue Sep 22 10:28:23 UTC 2026","passed","Tue Sep 22 10:28:26 UTC 2026","testcases.backoffice.group.AddGroupTest","Surefire test","testcases.backoffice.group.AddGroupTest","addGroupWithoutNameField"
"Add Group Backoffice Dengan name null","2549","addGroupWithNullName","Surefire suite","Tue Sep 22 10:26:51 UTC 2026","passed","Tue Sep 22 10:26:54 UTC 2026","testcases.backoffice.group.AddGroupTest","Surefire test","testcases.backoffice.group.AddGroupTest","addGroupWithNullName"
"List Manage Settlement Backoffice Menggunakan Login Supervisor","6951","listManageSettlementWithSupervisorLogin","Surefire suite","Tue Sep 22 10:03:48 UTC 2026","passed","Tue Sep 22 10:03:55 UTC 2026","testcases.backoffice.settlement.ManageSettlementTest","Surefire test","testcases.backoffice.settlement.ManageSettlementTest","listManageSettlementWithSupervisorLogin"
"Test Reject USDT","29667","rejectedUSDT","Surefire suite","Tue Sep 22 11:30:11 UTC 2026","failed","Tue Sep 22 11:30:41 UTC 2026","testcases.backoffice.ApprovalTransferTest","Surefire test","testcases.backoffice.ApprovalTransferTest","rejectedUSDT"
"Add Currency CS Admin Path Menggunakan HTTP Method PUT","1772","addCurrencyWithPutMethod","Surefire suite","Tue Sep 22 11:39:57 UTC 2026","passed","Tue Sep 22 11:39:58 UTC 2026","testcases.backoffice.currency.AddCurrencyTest","Surefire test","testcases.backoffice.currency.AddCurrencyTest","addCurrencyWithPutMethod"
