"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Normal Manual Transfer Success with Account Supervisor","7041","manualTransferSupervisor","Surefire suite","Wed Jul 29 11:08:03 UTC 2026","failed","Wed Jul 29 11:08:10 UTC 2026","testcases.transfer.ManualTransferTest","Surefire test","testcases.transfer.ManualTransferTest","manualTransferSupervisor"
"Mutasi Manual Transfer CS","2592","mutasiManualTransferCS","Surefire suite","Wed Jul 29 11:24:29 UTC 2026","failed","Wed Jul 29 11:24:32 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransferCS"
"Get History QR Success Paid","5566","historyQRTestPaid","Surefire suite","Wed Jul 29 10:57:59 UTC 2026","passed","Wed Jul 29 10:58:04 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaid"
"Get Balance Merchant with Login Admin","2464","getFailedBalanceMerchantLoginAdmin","Surefire suite","Wed Jul 29 11:16:32 UTC 2026","passed","Wed Jul 29 11:16:35 UTC 2026","testcases.balance.GetBalanceQrisTest","Surefire test","testcases.balance.GetBalanceQrisTest","getFailedBalanceMerchantLoginAdmin"
"Get History QR CS Success Paid","6583","historyQRTestPaidCS","Surefire suite","Wed Jul 29 10:58:07 UTC 2026","passed","Wed Jul 29 10:58:14 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTestPaidCS"
"Transfer Different Partner Reference, Transfer to USDT Transfer","2762","trfPartnerRefTransferFailed","Surefire suite","Wed Jul 29 11:10:59 UTC 2026","failed","Wed Jul 29 11:11:02 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","trfPartnerRefTransferFailed"
"Mutasi Transfer Supervisor Balance","3460","mutasiTransferSupervisorBalance","Surefire suite","Wed Jul 29 11:26:12 UTC 2026","failed","Wed Jul 29 11:26:15 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisorBalance"
"Test Get Report Transaction CS","5270","getReportTransactionCS","Surefire suite","Wed Jul 29 11:28:23 UTC 2026","passed","Wed Jul 29 11:28:28 UTC 2026","testcases.report.ReportTransactionTest","Surefire test","testcases.report.ReportTransactionTest","getReportTransactionCS"
"Mutasi USDT Transfer","2556","mutasiUSDTTransfer","Surefire suite","Wed Jul 29 11:26:30 UTC 2026","failed","Wed Jul 29 11:26:33 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransfer"
"Get History USDT Transfer Test Supervisor","795","historyUSDTTransferTestSupervisor","Surefire suite","Wed Jul 29 11:00:48 UTC 2026","broken","Wed Jul 29 11:00:49 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyUSDTTransferTestSupervisor"
"Transfer Different Parner Reference Supervisor, Special Transfer to Transfer","2806","trfPartnerRefSpecialSpvFailed","Surefire suite","Wed Jul 29 11:04:07 UTC 2026","failed","Wed Jul 29 11:04:10 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefSpecialSpvFailed"
"Get History Manual Transfer Test Admin","2655","historyManualTransferTestAdmin","Surefire suite","Wed Jul 29 10:59:36 UTC 2026","failed","Wed Jul 29 10:59:39 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTestAdmin"
"Wrong Password Login Merchant","1679","testLoginWrongPassword","Surefire suite","Wed Jul 29 10:56:49 UTC 2026","passed","Wed Jul 29 10:56:51 UTC 2026","testcases.auth.LoginTest","Surefire test","testcases.auth.LoginTest","testLoginWrongPassword"
"Transfer Different Partner Reference, Manual Transfer to Transfer","2669","trfPartnerRefManualFailed","Surefire suite","Wed Jul 29 11:06:17 UTC 2026","failed","Wed Jul 29 11:06:20 UTC 2026","testcases.transfer.SpecialTransferTest","Surefire test","testcases.transfer.SpecialTransferTest","trfPartnerRefManualFailed"
"Mutasi Manual Transfer","4950","mutasiManualTransfer","Surefire suite","Wed Jul 29 11:23:47 UTC 2026","failed","Wed Jul 29 11:23:52 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiManualTransfer"
"","3602","generateQRCode","Surefire suite","Wed Jul 29 11:01:39 UTC 2026","passed","Wed Jul 29 11:01:42 UTC 2026","testcases.QR.GenerateQRTest","Surefire test","testcases.QR.GenerateQRTest","generateQRCode"
"Get History QR","8641","historyQRTest","Surefire suite","Wed Jul 29 10:57:38 UTC 2026","passed","Wed Jul 29 10:57:47 UTC 2026","testcases.history.HistoryQRTest","Surefire test","testcases.history.HistoryQRTest","historyQRTest"
"Normal Transfer USDT Balance Success","4507","transferBalance","Surefire suite","Wed Jul 29 11:10:34 UTC 2026","failed","Wed Jul 29 11:10:39 UTC 2026","testcases.transfer.TransferUSDTTest","Surefire test","testcases.transfer.TransferUSDTTest","transferBalance"
"Mutasi Transfer Supervisor","2611","mutasiTransferSupervisor","Surefire suite","Wed Jul 29 11:26:06 UTC 2026","failed","Wed Jul 29 11:26:09 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiTransferSupervisor"
"Get History Flop Transfer Test CS","3066","historyFlopTransferTestCS","Surefire suite","Wed Jul 29 10:59:18 UTC 2026","failed","Wed Jul 29 10:59:21 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyFlopTransferTestCS"
"Transfer Different Parner Reference Supervisor, Manual Transfer to Transfer","2670","trfPartnerRefManualSpvFailed","Surefire suite","Wed Jul 29 11:03:56 UTC 2026","failed","Wed Jul 29 11:03:58 UTC 2026","testcases.transfer.TransferTest","Surefire test","testcases.transfer.TransferTest","trfPartnerRefManualSpvFailed"
"Mutasi USDT Transfer CS","2681","mutasiUSDTTransferCS","Surefire suite","Wed Jul 29 11:27:00 UTC 2026","failed","Wed Jul 29 11:27:03 UTC 2026","testcases.mutasi.MutasiTransferTest","Surefire test","testcases.mutasi.MutasiTransferTest","mutasiUSDTTransferCS"
"Get Balance Merchant Transfer","2796","getBalanceMerchant","Surefire suite","Wed Jul 29 11:17:48 UTC 2026","passed","Wed Jul 29 11:17:50 UTC 2026","testcases.balance.GetBalanceTransferTest","Surefire test","testcases.balance.GetBalanceTransferTest","getBalanceMerchant"
"Get History Manual Transfer Test","2677","historyManualTransferTest","Surefire suite","Wed Jul 29 10:59:30 UTC 2026","failed","Wed Jul 29 10:59:33 UTC 2026","testcases.history.HistoryTransferTest","Surefire test","testcases.history.HistoryTransferTest","historyManualTransferTest"
