"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Customer Service","2","History","12","0","Mutation","0"
"0","Admin Crypto","0","Home","3","0","","0"
"0","Merchant","0","Transaction","8","0","GenerateQR","0"
"0","Merchant","0","History","8","0","Mutation","0"
"0","Merchant","0","Transaction","8","0","Special Transfer","0"
"0","Supervisor","0","History","5","0","Transfer","0"
"0","Backoffice","0","Cashflow","3","0","Refund","0"
"0","Merchant","0","Transaction","7","0","USDT","0"
"0","Merchant","0","Transaction","6","0","Manual Settlement","0"
"0","Supervisor","0","History","8","0","Mutation","0"
"0","Merchant","0","Transaction","4","0","Flop","0"
"0","CS Admin","0","History","10","0","Transfer","0"
"0","Backoffice","0","Cashflow","16","0","Transfer Assignment","0"
"0","Supervisor","0","History","1","0","GenerateQR","0"
"0","Customer Service","0","History","1","0","GenerateQR","0"
"0","Backoffice","0","Cashflow","6","0","Special Transfer","0"
"0","Supervisor","0","Transaction","5","0","Transfer","0"
"0","Admin","0","Authentication","1","0","","0"
"0","CS Admin","0","Master","1","0","Company","0"
"0","CS Admin","0","History","1","0","Transaction","0"
"0","CS Admin","0","Authentication","1","0","","0"
"0","Merchant","0","Report","1","0","Transaction","0"
"0","Merchant","0","Transaction","7","0","Transfer","0"
"0","Customer Service","0","Authentication","1","0","","0"
"0","Supervisor","0","Transaction","2","0","Manual Settlement","0"
"0","Merchant","0","Authentication","2","0","","0"
"0","Merchant","0","History","8","0","Transfer","0"
"0","CS Admin","0","Master","3","0","Users","0"
"0","Supervisor","0","Transaction","2","0","USDT","0"
"0","Merchant","0","Home","2","0","","0"
"0","Admin","0","Home","4","0","","0"
"0","Customer Service","0","History","5","0","Transfer","0"
"0","Backoffice","0","Cashflow","4","0","USDT Settlement","0"
"0","Marketing","0","Home","2","0","","0"
"0","CS Admin","0","History","1","0","GenerateQR","0"
"0","Customer Service","0","History","1","0","Transaction","0"
"0","Merchant","0","History","1","0","Transaction","0"
"0","Backoffice","0","Master","2","0","Users","0"
"0","Supervisor","0","History","1","0","Transaction","0"
"0","Supervisor","0","Home","1","0","","0"
"0","Admin Crypto","0","Authentication","1","0","","0"
"0","Backoffice","0","Master","2","0","Company","0"
"0","Marketing","0","Authentication","1","0","","0"
"0","Supervisor","0","Authentication","1","0","","0"
"0","Admin Crypto","0","Cashflow","1","0","USDT Settlement","0"
"0","Backoffice","0","Authentication","1","0","","0"
"0","Customer Service","0","Home","1","0","","0"
"0","Group","0","Authentication","1","0","","0"
"0","Merchant","0","History","1","0","GenerateQR","0"
"0","Customer Service","0","Report","1","0","Transaction","0"
"0","Supervisor","0","Report","1","0","Transaction","0"
